pathway description	SRR17644439
PWY0-1391	Degradation/Utilization/Assimilation; Nucleoside and Nucleotide Degradation
PWY0-1415	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY0-1433	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY0-1465	Degradation/Utilization/Assimilation; Carboxylate Degradation
PWY0-1466	Degradation/Utilization/Assimilation; Carbohydrate Degradation
PWY0-1471	Degradation/Utilization/Assimilation; Nucleoside and Nucleotide Degradation
PWY0-1477	Degradation/Utilization/Assimilation; Amine and Polyamine Degradation
PWY0-1479	Macromolecule Modification; Nucleic Acid Processing
PWY0-1507	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY0-1517	Generation of Precursor Metabolite and Energy; sedoheptulose bisphosphate bypass
PWY0-1527	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
PWY0-1533	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY0-1534	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY0-1535	Degradation/Utilization/Assimilation; Amino Acid Degradation
PWY0-1544	Generation of Precursor Metabolite and Energy; Respiration
PWY0-1546	Degradation/Utilization/Assimilation; Polymeric Compound Degradation
PWY0-1554	Macromolecule Modification; Nucleic Acid Processing
PWY0-1561	Generation of Precursor Metabolite and Energy; Respiration
PWY0-1565	Generation of Precursor Metabolite and Energy; Respiration
PWY0-1567	Generation of Precursor Metabolite and Energy; Respiration
PWY0-1568	Generation of Precursor Metabolite and Energy; Respiration
PWY0-1569	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
PWY0-1576	Generation of Precursor Metabolite and Energy; Respiration
PWY0-1577	Generation of Precursor Metabolite and Energy; Respiration
PWY0-1578	Generation of Precursor Metabolite and Energy; Respiration
PWY0-1581	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY0-1582	Generation of Precursor Metabolite and Energy; Respiration
PWY0-1584	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY0-1586	Biosynthesis; Cell Structure Biosynthesis
PWY0-162	Biosynthesis; Nucleoside and Nucleotide Biosynthesis
PWY0-166	Biosynthesis; Nucleoside and Nucleotide Biosynthesis
PWY0-301	Degradation/Utilization/Assimilation; Carboxylate Degradation
PWY0-321	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY0-381	Degradation/Utilization/Assimilation; Alcohol Degradation
PWY0-41	Degradation/Utilization/Assimilation; Amine and Polyamine Degradation
PWY0-42	Degradation/Utilization/Assimilation; Carboxylate Degradation
PWY0-43	Degradation/Utilization/Assimilation; Carboxylate Degradation
PWY0-44	Degradation/Utilization/Assimilation; Carbohydrate Degradation
PWY0-461	Degradation/Utilization/Assimilation; Amino Acid Degradation
PWY0-501	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY0-521	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
PWY0-522	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY0-541	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY0-662	Biosynthesis; Carbohydrate Biosynthesis
PWY0-781	Superpathways; aspartate superpathway
PWY0-823	Degradation/Utilization/Assimilation; Amino Acid Degradation
PWY0-845	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY0-862	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY0-901	Biosynthesis; Amino Acid Biosynthesis
PWY0-981	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY1-2	Degradation/Utilization/Assimilation; Amino Acid Degradation
PWY1-3	Biosynthesis; Storage Compound Biosynthesis
PWY1A0-6325	Biosynthesis; Secondary Metabolite Biosynthesis
PWY1G-0	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY1G-1	Detoxification; mycothiol-mediated detoxification
PWY1G-126	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY1G-170	Degradation/Utilization/Assimilation; C1 Compound Utilization and Assimilation
PWY3DJ-11281	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY3O-246	Degradation/Utilization/Assimilation; Alcohol Degradation
PWY3O-4106	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY3O-440	Generation of Precursor Metabolite and Energy; Fermentation
PWY3O-450	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY490-3	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY490-4	Biosynthesis; Amino Acid Biosynthesis
PWY4FS-7	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY4FS-8	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY5F9-12	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY5F9-3233	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY66-21	Degradation/Utilization/Assimilation; Alcohol Degradation
PWY8J2-1	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY8J2-20	Biosynthesis; Secondary Metabolite Biosynthesis
PWY8J2-22	Biosynthesis; Secondary Metabolite Biosynthesis
PWYG-321	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWYQT-4427	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWYQT-4429	Degradation/Utilization/Assimilation; C1 Compound Utilization and Assimilation
PYRIDNUCSAL-PWY	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PYRIDNUCSYN-PWY	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PYRIDOXSYN-PWY	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PYRUVDEHYD-PWY	Generation of Precursor Metabolite and Energy; Acetyl-CoA Biosynthesis
QUINATEDEG-PWY	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
REDCITCYC	Generation of Precursor Metabolite and Energy; TCA cycle
RHAMCAT-PWY	Degradation/Utilization/Assimilation; Carbohydrate Degradation
RIBITOLUTIL-PWY	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
RIBOKIN-PWY	Degradation/Utilization/Assimilation; Carbohydrate Degradation
RIBOSYN2-PWY	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
RUMP-PWY	Degradation/Utilization/Assimilation; C1 Compound Utilization and Assimilation
SALVADEHYPOX-PWY	Degradation/Utilization/Assimilation; Nucleoside and Nucleotide Degradation
SALVPURINE2-PWY	Biosynthesis; Nucleoside and Nucleotide Biosynthesis
SAM-PWY	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
SER-GLYSYN-PWY	Biosynthesis; Amino Acid Biosynthesis
SERDEG-PWY	Degradation/Utilization/Assimilation; Amino Acid Degradation
SERSYN-PWY	Biosynthesis; Amino Acid Biosynthesis
SHIKIMATEDEG-PWY	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
SO4ASSIM-PWY	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
SORBDEG-PWY	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
SUCROSEUTIL2-PWY	Degradation/Utilization/Assimilation; Carbohydrate Degradation
SUCSYN-PWY	Biosynthesis; Carbohydrate Biosynthesis
SUCUTIL-PWY	Degradation/Utilization/Assimilation; Carbohydrate Degradation
SULFATE-CYS-PWY	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
SULFMETII-PWY	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
SULFUROX-PWY	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
TAURINEDEG-PWY	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
TCA	Generation of Precursor Metabolite and Energy; TCA cycle
TCA-GLYOX-BYPASS	Generation of Precursor Metabolite and Energy; TCA cycle
TEICHOICACID-PWY	Biosynthesis; Cell Structure Biosynthesis
THIOREDOX-PWY	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
THIOSULFOX-PWY	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
THISYN-PWY	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
THRDLCTCAT-PWY	Degradation/Utilization/Assimilation; Amino Acid Degradation
THREOCAT-PWY	Degradation/Utilization/Assimilation; Amino Acid Degradation
THREONINE-DEG2-PWY	Degradation/Utilization/Assimilation; Amino Acid Degradation
THRESYN-PWY	Biosynthesis; Amino Acid Biosynthesis
TOLSULFDEG-PWY	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
TOLUENE-DEG-2-OH-PWY	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
TOLUENE-DEG-3-OH-PWY	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
TOLUENE-DEG-4-OH-PWY	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
TOLUENE-DEG-CATECHOL-PWY	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
TOLUENE-DEG-DIOL-PWY	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
TREDEGLOW-PWY	Degradation/Utilization/Assimilation; Carbohydrate Degradation
TREHALOSESYN-PWY	Biosynthesis; Metabolic Regulator Biosynthesis
TRESYN-PWY	Biosynthesis; Metabolic Regulator Biosynthesis
TRNA-CHARGING-PWY	Biosynthesis; Aminoacyl-tRNA Charging
TRPCAT-PWY	Degradation/Utilization/Assimilation; Amino Acid Degradation
TRPIAACAT-PWY	Biosynthesis; Hormone Biosynthesis
TRPKYNCAT-PWY	Degradation/Utilization/Assimilation; Amino Acid Degradation
TRPSYN-PWY	Biosynthesis; Amino Acid Biosynthesis
TRYPDEG-PWY	Degradation/Utilization/Assimilation; Amino Acid Degradation
TYRFUMCAT-PWY	Degradation/Utilization/Assimilation; Amino Acid Degradation
TYRSYN	Biosynthesis; Amino Acid Biosynthesis
UBISYN-PWY	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
UDPNAGSYN-PWY	Biosynthesis; Carbohydrate Biosynthesis
VALDEG-PWY	Degradation/Utilization/Assimilation; Amino Acid Degradation
VALSYN-PWY	Biosynthesis; Amino Acid Biosynthesis
XYLCAT-PWY	Degradation/Utilization/Assimilation; Carbohydrate Degradation
